#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2455 2.9417E-04 1.0137E-04  -2.30   0.60 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=12.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 109  0.764490  3.8171  4.3045  0.2384  5.1967  4.4220  4.1932  4.1463  4.1714
 110  0.767148  3.8181  4.2891  0.2594  5.1447  4.3667  4.1413  4.0962  4.1226
 111  0.769734  3.8190  4.2736  0.2802  5.0932  4.3118  4.0897  4.0462  4.0738
 112  0.770455  3.8193  4.2691  0.2861  5.0786  4.2962  4.0750  4.0320  4.0599
 113  0.771173  3.8196  4.2647  0.2921  5.0636  4.2803  4.0600  4.0176  4.0459
 114  0.771889  3.8199  4.2603  0.2981  5.0489  4.2645  4.0452  4.0033  4.0320
 115  0.772601  3.8202  4.2559  0.3043  5.0338  4.2483  4.0302  3.9888  4.0179
 116  0.773311  3.8205  4.2514  0.3104  5.0184  4.2318  4.0150  3.9742  4.0038
 117  0.774017  3.8209  4.2470  0.3166  5.0032  4.2155  3.9998  3.9596  3.9895
 118  0.774719  3.8212  4.2425  0.3229  4.9877  4.1987  3.9842  3.9447  3.9751
 119  0.775418  3.8216  4.2380  0.3292  4.9721  4.1818  3.9686  3.9297  3.9606
 120  0.776114  3.8220  4.2334  0.3356  4.9564  4.1648  3.9529  3.9146  3.9460
 121  0.776805  3.8223  4.2287  0.3420  4.9406  4.1477  3.9370  3.8993  3.9311
 122  0.777494  3.8226  4.2239  0.3485  4.9246  4.1305  3.9209  3.8838  3.9159
 123  0.778178  3.8229  4.2188  0.3551  4.9086  4.1132  3.9045  3.8680  3.9005
 124  0.778858  3.8231  4.2136  0.3617  4.8924  4.0958  3.8881  3.8519  3.8848
 125  0.779533  3.8234  4.2080  0.3685  4.8762  4.0783  3.8713  3.8356  3.8687
 126  0.780203  3.8235  4.2023  0.3752  4.8599  4.0607  3.8544  3.8190  3.8524
 127  0.780868  3.8236  4.1964  0.3820  4.8433  4.0430  3.8373  3.8022  3.8358
 128  0.781528  3.8237  4.1904  0.3889  4.8267  4.0252  3.8200  3.7852  3.8189
 129  0.782183  3.8238  4.1841  0.3959  4.8100  4.0073  3.8026  3.7680  3.8019
 130  0.782834  3.8239  4.1777  0.4029  4.7931  3.9893  3.7850  3.7506  3.7846
 131  0.783479  3.8240  4.1712  0.4100  4.7762  3.9712  3.7672  3.7330  3.7670
 132  0.784120  3.8240  4.1645  0.4170  4.7592  3.9530  3.7493  3.7152  3.7493
 133  0.784755  3.8239  4.1576  0.4242  4.7420  3.9347  3.7312  3.6972  3.7313
 134  0.785383  3.8239  4.1505  0.4315  4.7248  3.9164  3.7129  3.6789  3.7130
 135  0.786005  3.8238  4.1431  0.4388  4.7074  3.8980  3.6945  3.6604  3.6943
 136  0.786620  3.8237  4.1355  0.4462  4.6900  3.8795  3.6758  3.6416  3.6754
 137  0.787228  3.8235  4.1277  0.4537  4.6725  3.8610  3.6569  3.6225  3.6562
 138  0.787830  3.8233  4.1196  0.4612  4.6548  3.8424  3.6380  3.6032  3.6366
